stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,1.69,1.13,0,0,0,0
21Day,0.37,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,1.48,0,0,0,6.66,0.37,0,0,0.37,0,0,11.1,35.52,1.11,0,0,0.37
3Month,0.1,0,0.21,1.46,0.21,0.1,0.21,0.42,0,4.47,0.42,0,0.73,0.1,0.62,0.73,0.83,0.1,0.1,0.31,0,0.1,0.1,0,0.1,0.31,0.94,0.1,0,0.1,0.21,0.83,0.62
22Month,0.68,0.41,0.68,2.05,0.14,0,1.23,4.51,1.78,52.47,0.82,1.09,4.65,0.14,0.96,2.73,2.19,0.82,0.68,0,0.14,0,0.55,0.27,0.14,0,0.14,0.68,0.14,0.14,0,0,0.14
