stage,Cardiomyocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0.28,0,0.28,0
21Day,1.48,0.74,0,0,0,0,0,0.37,0.74,1.11,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,0.1,0,0.52,0,0,0.1,0.21,0.1,0.1,0,0,0,0.83,0,0.1
22Month,0,0.14,0,0.41,0.14,1.78,0.27,0,0,0.27,0,0,0,1.91,0,1.78,0,0.14
