stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,3.66,0,0,0,0,0
21Day,0,0,0,0,0.37,0.37,0,0,0,0,0,3.33,0,0,0,0,0.37
3Month,0.1,0,0.1,0.62,0,0,0.52,0.31,0.31,0.21,1.14,3.12,0.21,0,0,0.1,1.98
22Month,0,0.14,0,0.27,0,0,1.78,3.28,0.27,0.27,0.27,15.44,0.41,0.14,0.14,0,3.55
