stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,167,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,38,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,120.91,1.69,0,1.13,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,3.38,0,0,0,0,14.37,4.23,0,0,1.69,0.28,0,1.13,0,0,0,0,0,0
21Day,115.07,0.74,0.37,3.7,0,4.07,0,0.37,0,0.37,0.37,0,0,0.37,1.85,0.74,0.37,1.85,1.11,9.62,0,0,4.44,0,7.03,3.7,0,0,3.33,2.22,0.37,0.74,0.37,1.11,0.74,0,0,0.37
3Month,8.84,0.73,0.1,6.76,0.1,0,0.1,0.52,0.31,1.14,0,0,7.28,1.04,0.31,1.56,0.42,0.94,0.94,2.81,0.42,0.1,2.6,0.42,0.42,0.21,1.35,0,0.21,0.52,2.18,0.1,0.1,0,0.1,0.73,0.21,0.94
22Month,6.15,2.19,0.41,3.42,0,0,0.55,0.41,1.09,2.73,1.23,0,46.87,1.78,1.23,4.92,0.14,0.96,2.87,6.7,0.27,0.68,4.1,0,0.27,0.14,3.42,0.27,0.27,0,0.68,1.5,0.27,0,0.14,0.14,0,1.37
