stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.54,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0.85,0.56,0,0,0,0,0.56,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0.74,0,50.32,0.37,1.11,0.37,0,0,0,1.11,0.37,0.74,0.37,2.22,3.7,1.11,3.7,0,0,0,0,4.07,1.48,0,1.11,2.59,0,0.74,0.74,0.37,0.37,0.74
3Month,0,0,4.26,0,0,0,0.1,0.21,0,0.94,0,0,0.42,0.1,0.42,0.21,0.31,0.1,0,0.1,0.21,0,0,0.42,0,0.31,0.42,0,0,0,0,0
22Month,0,0.14,1.37,0,0,0,0,0.27,0.14,3.55,0.68,0,0.41,0.27,0,0.27,0.55,0,0.14,0.14,0,0,0,0,0,0,0.14,0.14,0,0,0,0
