stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0.56,0,1.69,0.28,0,0,0,0,0,0,0,0,0.28,1.69,0,3.95,0,0.56,0,0,1.69,3.38,0,0.56,0,0.56,0,0
21Day,0.37,0,0,3.33,0,0.37,0,0,0,0,0,1.48,0,0.37,1.48,0.37,2.59,0,0,0.37,0,1.85,2.22,0,0.37,0,0,0,0.74
3Month,0,0.21,0.1,1.25,0,0,0,0,0,1.14,0.62,0,0.21,0.1,0.21,0.42,0.31,0.52,0,0,0.21,0,0,0.1,0,0.31,0,4.78,0.31
22Month,0,0.14,0,0.41,0,0,0.14,0.27,0.14,3.83,0,0.14,0.27,0,0.14,0.14,0.27,0,0.41,0,0,0,0,0,0,0,0.14,0,0
