stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,1.41,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0.37,1.48,0,0,0,0.37,0.74,0,0,0,0,0,0,0
3Month,0.62,0,1.46,0,0.21,0,1.25,0,0,0.83,0.1,0.52,0.83,0.62,0,0.31,0,0,0,0.1,0.1,0.1,0.1,0.52,0.73
22Month,0.27,0.27,0.96,0.14,0.14,0.14,2.19,0.14,0.14,0.68,0,0.27,0.41,0.55,0.27,0.14,0,0,0.14,0,0,0.14,0,0.14,0
