stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0.28,0.56,0,0.56,0,14.66,0
21Day,0.74,0.37,0,0.37,0.37,0,0,0,0,0,0,0.74,0,0.37,0.74,0,0.37,0.74,12.21,0
3Month,0,0.21,0.1,0,0,0.1,0.31,0,0.21,0,0.1,0,0.1,0,0.1,0.1,0,0,1.46,0.1
22Month,0,0.14,0,0,0,0,0.68,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0
