stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0.56,0
21Day,0.37,0.37,1.11,0
3Month,0,0.1,0,0.1
22Month,0.14,0,0,0
