stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,1,3,1,0,0,1,0,0,1,2,4,5,301,0,0,0,0,0,1,0,0
72hpf,0.28,0.28,0,1.13,0,0,0,0,0.85,0,0.56,10.15,25.37,0.28,0.56,0.56,0,0,17.47,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0,4.07,5.92,0,0.37,0.37,0.74,0,4.44,0.37,0
3Month,0,0.42,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.42,0,0,0.1
22Month,0,0.27,0,0,0,0,0.96,0.14,0.14,0,0.14,0,0.14,0,0,0,0,0.41,0,0,0
