stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,27,0,0,2,0,0,0,0,1,0
72hpf,1.69,0.28,0,1.97,0,0,0,0,0,0,0,2.82,4.51,0.28,6.48,0,0.56,0,15.78,21.7,0,0.56,5.92,0.28,0,1.97,0,0,0
21Day,3.7,0,0.37,5.92,0.74,0.37,0,1.11,0,1.11,0.74,0,2.22,1.11,12.58,0,0,0,8.14,11.84,0.37,0.37,6.66,1.48,0.37,1.48,0.74,0.37,0.37
22Month,0,0.14,0,0.68,0,0.14,0.14,4.65,0.14,0.14,0.96,0.14,0,0,1.5,0.14,0.14,0.14,0,0,0.14,0.27,0,0.27,0.82,0,0,0,0.27
