stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,0,0,0,0,0,0,0,0,0,0.28,7.05,1.69,1.41,0,0,0.28,0.28,1.13,0,0,0,0.56,0,0,0,0.28,0,0
21Day,0.74,0,0,10.36,0,0,0,0.74,0,0.37,0.74,8.88,0,0,0.37,5.55,2.96,0,0,2.59,0,0,0.74,0,0,0,0.37,0,0,0.37,0,2.59
3Month,0,0.42,0.21,8.22,0.21,0.1,0.1,9.47,0,1.35,9.88,1.14,0.62,0.42,1.66,14.25,2.91,0.1,0.1,0.21,0.21,0.21,0,0,0.21,0.1,0.21,0.31,0,0,0.31,3.54
22Month,0,0,0,2.73,0.27,0,0,15.3,0.27,3.83,6.01,1.5,0.14,0,0.27,12.85,3.55,0,0.14,0.27,0,0,0,0.14,0,0,0,0.27,0.14,0,0,1.64
