stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.97,0.28,0.85,0,0.28,0,0,0,0,0,0,1.13,0,1.13,0,0,0.28,0.56,1.97,0,0,0,1.13,0,0,0.85,0,0,0,0
21Day,0,0,0,6.66,0,0.37,0,0,0,0.37,0,0.74,0,0.37,0.74,0.74,1.48,0,0,0.37,0,0.74,0,0,0,1.11,0.37,0,0,0,0,0,1.48
3Month,0,0.52,0,3.33,0,0,0.1,0.21,0,1.35,0.42,0,0.42,0.52,1.46,0.73,0,0.21,0,0.1,0.21,0.1,0.1,0.31,0,0,0,0.1,0,0.1,0.52,4.26,0.52
22Month,0,3.42,0.27,1.91,0,0,0.14,0.55,0.82,7.52,0.41,0,0.82,0.14,0.27,0.41,0.68,0,0.27,0.14,0.14,0,0.41,0,0.14,0.14,0,0.14,0.14,0,0.14,0,0
