stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,1.41,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.52,0.42,0.42,11.23,0.21,0.73,0.21,5.2,0.42,0,0,158.11,1.35,0.73,3.95,1.56,3.64,1.66,2.7,0.31,0.1,0.62,0.42,0.21,0.1,0.42,0.31,0,0,3.74,1.56,0,0,0.21,0.73,0.83,2.18
22Month,0.14,0.27,0.68,2.19,0,0.27,0.27,2.46,1.5,0.41,0,124.35,1.64,1.78,1.37,0.27,0.96,1.78,2.05,0,1.64,0.41,0,0,0,0,0.41,0.14,0.14,0.14,0.14,0.27,0.14,0,0,0,0.96
