stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.21,0.1,0,0,0.1,0.1,0.1,0.31,0.42,0.1,0.21,0.1,0.1,0,0,0,0,14.15,3.85,0.1
22Month,0.68,0,0.14,0.27,0.27,0,0,0.14,0,0.27,0.27,0,0,0.14,0.14,0.14,0.27,5.47,0,0.14
