stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell
21Day,1.11,0,0,0.37,1.48,0.37,0.37,0,0
3Month,1.25,0,0.1,0,0,0,1.04,0.1,0.1
22Month,0.14,0.14,0,0,0,0,0,0,0
