stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,1,0,0,0,0,1,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0.28
21Day,0.37,0,0,0,0.37,1.11,0,0.37,0.37,0.37,0,0.37
22Month,0,0.14,0.27,0.14,0.14,0,0.14,0,0,0,0.14,0
