stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0.37,0,0.37,2.59,0,0,1.48,0,0,0,0,0,0,0,0.74,0,0,0.37
3Month,0,0.1,0.21,2.5,0.62,0.52,0,5.82,0.52,0.1,5.3,0.94,0.31,0.73,0.21,0,0.62,0.21,0.1,0,0.42,0.52,0.1,0.62,0.21
22Month,0.14,0.82,0.41,2.46,0.68,0.27,0.41,14.62,0.14,0.14,17.49,0.27,0.82,0.82,0,2.05,1.37,0.14,0,0.14,1.09,0,0,0,0.27
