stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.56,0,0,15.5,0.56,1.13,0,0,0,0,0,0,0,0,0,4.51,33.26,0,6.2,0,0.56,0.28,10.71,9.3,0.28,0.56,0,6.2,0,0,5.36,0,0,2.25,0,0,0
21Day,0.37,0,1.48,22.2,0.37,1.85,0,0,0,0,0,0,0.37,0,0,1.11,29.6,0,4.81,0,0,0.74,6.29,4.07,0.74,3.7,0,0.74,1.85,0,1.48,0,0.37,1.85,0,0,0.74
3Month,0,0.1,0.1,5.2,0,0,0,0.21,2.81,0.1,0,0,1.35,0.21,4.06,0.21,3.22,0.42,2.08,0.1,0,0.42,0,0,0.42,0.94,0,0,0.1,1.25,0,0,0,0,0.1,0.42,0.31
22Month,0,0.27,0.41,3.14,0,0,0.14,0,1.37,0.27,1.37,0,5.47,0.14,2.73,0,0.27,0.55,0.27,0,0.41,0.14,0,0,0.41,0.96,0.14,0,0.27,0.27,0,0.14,0,0,0,0,0.14
