stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.97,1.41,0,0,0,0,0,0,21.14,13.53,0.56,0.28,0,0,4.51,0.85,0.28,0.85,0,0,0,0,0,0
21Day,0.37,0,0,12.21,1.48,0,0,0.74,0,0.74,0.74,56.61,11.1,0.37,2.22,0,0.37,1.85,1.48,0,0.74,1.48,0,0.74,0,0,0.74
3Month,0,0.31,0.21,10.51,0,0,0.73,2.18,0.31,0,1.14,8.84,0.73,0.31,0.94,0.1,0.21,0,0,0,0.1,0.1,1.04,0,0.1,0.21,0.31
22Month,0,0.14,0,2.05,0,0.14,0,0.55,0,0,0.14,4.37,0,0.27,0.14,0,0.14,0,0,0,0,0,0.41,0,0,0,0
