stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.23,1.97,0,0,0,0,0,0
21Day,0.74,0.74,0.37,0,0,0,0,0,0.74,0,0.74,0,4.07,1.48,0,0.74,2.22,0.37,0,0
3Month,0,0.1,0,0,0,0.31,0.21,0,0,0,0,0,0,0,0,0,0.1,0,0,0
22Month,0,0.27,0,0.27,0.14,9.02,0.14,0.41,0,0.27,0.27,0.55,0,0,0.14,0,0,0,0.14,0.14
