stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,9.86,0.28,0.85,0,0,0,0,0,0.28,0,0,0,0,3.95,3.38,0,0.56,0,0,0,0.56,4.23,4.51,0,0,0,1.97,0.28,0.28,0,0,0,0,0,0
21Day,0.37,0.74,0,43.66,0,1.48,0,0,6.66,0,0,0,0.37,0,0,0,0.74,4.07,0.74,5.18,0,0,0.37,0.37,2.59,2.22,0,0,0,1.48,1.11,2.96,0,0.37,0.37,0.37,0.37,0
3Month,0.1,3.64,0.42,101.62,0.1,0,0.52,0.1,123.36,1.66,0,0,10.19,3.22,0,7.28,4.26,23.09,3.74,3.33,0.83,0.1,1.98,4.99,0.52,0,1.14,0,0,0.1,2.81,9.67,0,0,0,4.37,4.06,1.14
22Month,0.14,4.51,1.5,32.39,0,0,0.27,0.14,51.11,1.5,2.87,0,78.57,0.27,0.41,12.3,1.23,6.42,2.05,2.46,0,1.78,1.37,0.55,0,0,1.23,0.27,1.37,0,0.41,10.39,0.55,0,0,0.14,0,0.68
