stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell
72hpf,1.41,0,0,0,0.56
21Day,0,0.37,0,0.37,0
22Month,0,0,0.27,0,0
