stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.56,1.13,0.28,0,0,0,0,0,19.45,1.97,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0.74,0,0,1.11,0.37,0.74,0,0,0,0.74,0,1.48,0,0,0,0,0,0,0,0,0,7.03,1.85,0.37,0,0.37,0.37,0,0,0.37,0,0,0.37
3Month,0.1,0,0.21,1.04,0,0,0.31,0.42,0,3.74,0.31,0.1,0.31,0,0.31,0.1,0.1,0.1,0,0.1,0.31,0.1,0,0.21,0,0.1,0,0.83,0,0,0.1,1.25,0.31
22Month,0.14,0.14,0,0.68,0,0,0.14,0.55,0.27,15.99,0,0,1.37,0,0,0.14,0.68,0,0.41,0.41,0,0.27,0,0.14,0.14,0,0,0.14,0.14,0,0,0,0.14
