stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Nephron_cell
72hpf,0,0,0,0,0,0,0.56,0
21Day,0.37,0.37,0,0,0,0,0,0
3Month,0.42,0,0.21,0.1,0.1,0.42,0.1,0.1
