stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,11.84,0.37,0.37,0,0,0,0,0,0,0,0.37,0,1.11,5.92,1.48,0.74,0,0,0,1.11,0,0,0,0,0.74,0,0,0.37,0,0,0
3Month,0.21,1.14,0.52,17.58,0,0,0,0.1,13,2.29,0,2.18,0.62,0,35.05,0.31,0.83,0.42,0.83,0.1,3.54,0.31,0.1,0.1,0.31,0.1,0.1,0.42,1.98,0,0,0.21,1.04,0.62
22Month,0,1.37,1.5,15.17,0,0,0.27,0,1.5,2.46,0.14,1.91,0.14,0,5.19,0.27,1.78,0.68,0.82,0,1.23,0,0.14,0,0.14,0,0,0.14,1.23,0.14,0,0,0,0.55
