stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0.56,0.85,0.56,0,0.28,4.23,0
21Day,0,0.37,0,0,0,0.74,0,0.37,0,2.22,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0.21
22Month,0.27,0,0.41,0.27,0,0,0,0,0,0,0
