stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,1.13,0,0,0,5.07,2.25,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.48,0,0,0.37,0
3Month,0,0,0.52,0.1,0.1,0.1,0.1,0.62,0.21,0.1,0.21,0,0.1,0,0.1,0,0,0.1,3.54,0,3.12
22Month,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0
