stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0
3Month,0,0.73,0.1,0.1,0.62,0.42,0.42,0,0.1,0.31,0.1,0,0.31,0.1,0.1,0.31,33.6,0.21,26.63,0.42
22Month,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1.64,0,0,0
