stage,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0.85,0,0,0,0,0.28,0,0,0,0,26.78,1.41,0.28,0,0.28,0,0.28,0
21Day,0,0.37,0,0,0,0.37,0,1.11,0,0,5.55,1.48,0,0,0,0,0,0
3Month,0,0,0,0,0.1,0,0,0.1,0.21,0.1,0.31,0,0,0,0,0.42,0,0.31
22Month,0,0,0.41,0.96,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0,0,0
