stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4,3,6,0,0,0,0,0,0,0,3,0,13,0,0,21,901,1,0,0,0,0,0,0,0,2,0
72hpf,2.54,0.85,1.97,0.56,3.1,0,0,0.28,0,0.28,4.51,0,2.54,0,0,249.15,152.48,0,0,3.66,0,0,5.92,1.97,0.85,0.28,0
21Day,0.74,0,2.22,0,4.81,0,0.37,0,0.37,0,1.11,0.37,1.85,0.37,0.37,52.17,36.26,0,0.37,1.11,2.96,0,5.18,9.25,28.49,0.37,0.37
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.73,0.1,0,0,0,0,0.52,0.1,0,0,0.1,0.21
22Month,0,0,0.41,0,0,0.14,0.68,0,0.14,0,0.14,0,0,0,0,0.96,0,0,0,0,0,0.82,0.41,8.06,0,0,0.14
