stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.79,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,2.25,0.28,0,0,0,0,0,0
21Day,2.59,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0.37,0,0,0,0
3Month,0.1,0,0.1,0.62,0,0,0,1.56,0.1,0,0.62,0.42,0.21,0.21,0.1,0.21,0,0.1,0,2.6,0.1,2.18,0.21
22Month,0,0,0,0.27,0,0.14,0.14,3.69,0.14,0.14,0.55,0,0.27,0.27,0,0,0,0.14,0,0.27,0,0,0
