stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0.56,0,0.28,0,15.22,0,0.56,0.28,0,0.85,0,0
21Day,0,0.37,1.11,0,0,0,0,1.11,1.85,16.65,0.37,0,0,0.37,1.11,0.37,0.37
22Month,0,0,0,0.27,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0
