stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,5,0,1,0,0,0,0,0,0,0,1,4,29,0,0,0,0,2,156,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,1.69,0,0,0,0,0,0,1.13,0,1.41,1.41,0.28,5.64,0,0.28,0,0,9.3,34.67,0,0,2.82,0.85,0,1.13,0.28,0,0,0,0,0
21Day,2.22,0,1.11,0.37,0,0,0,0,0,0.74,0,0,1.48,0,5.55,0,0,1.11,0,1.85,9.99,0,0,1.11,0.37,0,1.11,0.37,1.48,0.37,0,0,0.37
3Month,0,0.1,1.35,0,0.1,0.21,0,0.62,0.1,0.21,0.62,0.1,0.31,0.52,0.42,0,0,0,0.31,0.21,0.21,0.1,0.21,0,0.1,1.98,0,0,0,0,0.73,0.42,0.21
22Month,0,0,0.41,0,0,0.14,0.14,1.37,0,0,0,0,0,0.55,0.27,0.14,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.55
