stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,5.07,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,1.48,0.74,0,1.85,0,0,0,0.74,0,0.37,6.29,0,0.37,1.11,2.96,0,0.37,1.48,0,0,0.74,0,0,0,0.37
3Month,0,0.21,1.04,0,0.21,0.1,0.42,0.62,0.31,0,0.83,0.83,0.94,0,0.1,0.1,0,0.1,0,0,0.1,8.32,0,0.1,0.1,10.92,0.21
22Month,0,0.14,0.55,0,0,0,0,1.23,0,0,0.27,0,0.41,0.14,0,0,0.27,0,0,0,0,0.41,0.27,0,0,0.14,0.41
