stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,23.11,0.85,1.97,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.96,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,18.13,0.37,2.59,0,0.74,1.85,0.37,0,0.37,1.11,0.37,0,0,0
3Month,0.1,0.1,0.21,2.29,0,0.1,0,0.1,0.21,0.1,2.7,0.62,0.94,0.31,1.04,0.52,2.5,0.62,0.1,0.1,0.62,1.04,0.1,24.13,0.21,0,0.21,5.51,0.1,0,0,0,0.31,4.78,0.73
22Month,0,0.14,0.14,1.09,0,0,0.14,0,0.14,0.68,6.97,0.14,0.96,0,0.27,0.68,2.05,0.14,0.14,0.14,0,0,0,24.87,0.41,0.14,0,6.56,0,0.82,0,0,0,0,0.27
