stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0
72hpf,139.23,0.56,1.97,0.56,1.97,0,0,0,0,0,0,0,0.28,0,0.28,0,2.25,2.54,0,6.48,0.56,0,23.96,11.84,0.28,9.3,0.28,0,3.38,0,0.28,26.21,0,0,0
21Day,85.47,0,6.29,0,4.81,0,0.37,0,0,0,0,0,0.74,0.37,2.22,1.85,0.37,3.33,1.85,7.03,0,1.85,11.84,5.92,0.37,2.22,2.96,0,0.74,0.74,2.59,11.1,0,0,0.37
3Month,4.58,0.52,3.22,0,0,0.21,0.1,0.21,0.1,0.31,0,0,2.08,0.83,0,1.04,0.31,0.62,0.94,2.18,0,0.21,0.21,0.21,0.1,0.21,0.42,1.56,0.21,0,0,0.1,0.1,0.31,0.52
22Month,1.23,0.82,2.05,0,0,0.14,0.14,0,0.14,2.6,0.82,0,12.85,0.55,0.41,2.6,0,0.27,2.46,2.32,0.27,0.14,0.41,0,0.27,0,0.14,1.78,0,0,0,0,0.14,0,0.96
