stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,1,0
72hpf,1.69,0,0,0,0.28,1.13,0,0,0,0,0,0,0,0,0,0.56,2.54,0,1.69,0,0,0,108.79,5.36,0.85,1.41,1.41,0,0,2.25,2.54,0.85,0.28,0
21Day,0.74,0,0.37,2.22,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,1.11,1.48,0,0,0,34.78,1.48,0.37,1.11,0,1.48,0.37,0,1.11,0,0,0
3Month,0,0.1,0,1.14,0,0,0,0,0.31,0.31,0,2.39,0.42,0,0.62,0,0.21,0.31,0.31,0.1,0,1.66,0.1,0,0.1,0,0.1,0.1,0.73,0,0,0,0,0.21
22Month,0,0.41,0.27,0.82,0,0,0.14,0,0,0.68,0.27,9.43,0.14,0.14,0.96,0,0,0.82,0.68,0,0.14,1.23,0.14,0,0.96,0,0,0.14,0.41,0,0,0,0,0
