stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,0,0,0,0,1.13,0,0,0,1.13,0.56,0,50.73,0,0,0
21Day,0.37,0,0.37,0.37,0,0,0.37,0,0,0.74,0,0,0,0,0.74,0,0.37,0,0,40.33,0,0.37,0
3Month,0,0.1,0,0,0,0.1,0,0.21,0.1,0,0.1,0.1,0.1,0.21,0.94,1.25,0,0,0.1,3.95,0.1,0,0.1
22Month,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0
