stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0
21Day,0,1.48,0.74,0.37,0.37,0,0,0,0,0,0,0,1.85,0,1.11,0.37,0.74,0,0,0,0,0.74,0,0,0,1.11,0,0.37,0,0,0,0
3Month,0,4.99,3.85,0,0,0.62,3.54,0.94,0,38.17,1.25,0.31,110.88,0.1,0.52,0.83,1.66,0.21,0.1,0.21,0.83,0.31,0,0.21,0,0.21,1.14,24.55,0.21,0.1,14.87,1.14
22Month,0.41,4.65,1.37,0,0,0,3.42,1.09,0.55,29.11,0,0.14,119.02,0,0.27,0.82,0.82,0,0.68,0.14,0,0.14,0,0.68,0.14,0.14,0,2.73,0,0,0,0
