stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,43.4,1.13,0,0,0,0,0,0,0,0,7.61,0,1.13,0,0,0,37.49,4.51,0,2.25,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0.37,2.59,59.2,1.85,0.74,0.37,0.37,0.74,0,1.48,0.37,0.37,11.1,0.74,11.1,0,0.74,0,5.92,0.74,0.37,0,2.59,0,0,0.74,0.37,0.74,0,0.37
3Month,0,0,0.21,0.62,11.96,0,0,0.1,0.42,3.54,0.31,0,0.42,0,0.73,0.1,0.73,0.1,0,0.1,0.1,0,0,0,0.31,0.1,0.83,0,0,0,0.1,0.1
22Month,0,0.14,0,0,2.32,0,0,0.14,0,0.68,0,0,0.14,0,0.41,0,0.14,0,0,0,0.14,0,0,0,0,0,3.96,0,0,0,0,0
