stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Neural_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,1.41,0
21Day,0,0,0.37,0,0,0,0,0.37,0,1.11,0
3Month,0.21,0.1,0.1,0.42,0,0,0.1,0,0,0,0
22Month,0,0,0.41,0.55,0.14,0.14,0,0,0.14,0,0.14
