stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,2,26,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.69,2.25,10.43,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0,0,3.66,3.1,0,0,0,0.28,0,0,3.95,0,0,0,0
21Day,0,0,2.59,1.11,9.25,0,0,0,0,0.37,0,0,0,1.48,0,0,0,0,1.11,0,0,0,1.48,0.74,0,0,0,0,4.44,0,0.37,0,0,0,0
3Month,0.31,0.1,36.93,1.14,0,0.1,0.1,0.21,0.21,0,0,2.29,0.83,0.1,1.04,5.93,0.62,1.25,0.42,0.31,0.52,1.56,1.35,0.21,0.31,0.1,0,0.1,2.91,5.1,0.42,0.62,0.52,55.23,0.42
22Month,0.14,0,13.66,0,0,0.27,0,0.14,0.14,0.14,0,1.64,0.27,0.14,0.68,0.14,0.27,0.27,0.55,0,0,0.14,0,0.14,0.27,0,0.14,0,0.96,5.19,0.41,0.14,0,0.27,0.14
