stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,3.33,0,0.37,1.11,0,0,7.03,0,0,0,0,0,1.11,0,0,0,0,0,0,0.37
3Month,0.1,0.83,0.31,0,21.53,1.25,28.6,0.31,0.73,0.42,9.36,0.73,0.1,0,0.21,0.21,0,0.1,0.1,0.31,1.35,0.1,0.21,1.04
22Month,0,0.27,0.27,0.41,52.2,3.14,4.37,0.55,0.27,0.14,16.53,0.68,0.14,0.14,0.14,0,0.14,0.27,0,0,0.27,0,0,1.37
