stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,1.66,0.1,0.1,0.1,0.21,0.21,0.42,0.52,0.1,0.62,0.31,1.46,0.31,0.21,0.1,0.1,0.21,40.77,0.42,0.1
22Month,0,0,0,0,0,0.55,0,0.14,0,0,0,0.14,0,0,0,0,0.14,2.6,0,0
