stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,1.13,0,0.28,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0.37,3.33,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0.1,0.52,12.9,0,0,0.1,2.7,1.46,0.1,7.39,2.5,0.21,14.35,0.21,1.98,2.6,0.73,0.21,0,0.73,1.04,0.31,0,0.62,0,0,0,1.35,0,0.21,0.21,2.6
22Month,0,1.5,2.19,9.16,0.14,0,0.27,2.46,5.88,1.23,21.86,3.14,0.82,25.14,0.41,2.19,5.47,2.46,0.14,0.82,0.82,0,0.55,0,0.96,0.82,0.14,0.14,3.01,0.14,0,0,2.46
