stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Neurosecretory_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0.74
3Month,0.1,0.21,0.21,0,0.1,0.1,1.04
22Month,0.14,0,0.55,0.14,0,0,0.55
