stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,3,70,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,2.54,0,0,1.13,1.69,0.85,0.28,0,0,0,0,0.28,0,0.85,2.25,0,4.23,0,0,0,80.61,12.68,0,0,0,1.41,0.28,0,2.25,0,0,0,0,0
21Day,1.11,0.37,0.37,4.07,0.37,0.37,0.74,0,0.37,0,0,0.74,0,0,1.11,0,11.47,0,0.74,0,11.47,4.81,0,0.37,0,0.37,0.37,0,1.11,0.37,0,0,0,0
3Month,0.1,0.52,0.1,32.14,0,0,0.94,0.1,1.35,3.22,1.56,0.21,1.87,0,11.75,1.14,3.64,0.1,0.42,0.42,0.62,0.31,0.31,0.1,0,0.1,0.73,1.77,0,0,0,0.31,1.14,0.62
22Month,0,0.27,0,5.06,0,0,1.23,0,1.78,6.29,0.27,0.68,0.55,0,1.23,0.41,1.37,0,0.41,0,0.14,0,0.14,0.14,0.14,0.14,0,0.41,0.14,0,0,0.27,0,0.41
