stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,3.1,1.69,0,0.28,0,0,0.28,0.28,0,0,0
21Day,0.74,0.37,0,1.48,0.37,0,0,0,0,0,0,0.74,0,0,0.74,0,0.74,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0.21,0,3.43,0,0,0.42,1.46,0,4.99,1.87,0.1,1.66,0.21,0.94,1.66,0.83,0.21,0,0.1,0,0,0.21,0,0.1,0.73,0,0,0.42,0.1,0.94
22Month,0,0.68,0.68,0.68,0,0.14,0.14,1.23,0.55,10.93,1.37,0.41,1.23,0,0,1.78,1.09,0.14,0.14,0,0,0,0,0,0,0.27,0.14,0,0,0,0.41
