stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.69,0.56,0,0,0.28,0,1.13,0,0,0,0
21Day,0,0.37,0,0.37,0,0.37,0,0,0.37,0,0,0.37,0.74,1.11,0.74,0,0,2.22,0.37,0,0,0.37,0,0.74,0,0,0,0.74
3Month,0,0.21,1.56,0,0,1.35,0,1.66,0.94,0.42,0.42,0,0.21,2.08,0.42,0.1,0.73,0.1,0,0.21,0.21,0,0.31,0,0.1,0.73,0.1,1.35
22Month,0.27,0,0.41,0,0.14,1.23,0.14,2.6,0.27,0.14,0.14,0.27,0,1.37,0.55,0.14,0,0,0,0,0.27,0,0.14,0.27,0,0.14,0,0.41
