stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,151,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0.56,0,0,0,0,0,0,0.85,1.41,0.28,3.38,0,1.13,0,33.26,44.53,0,0.28,5.92,0.28,0,4.79,0.28,0.28,0,0
21Day,0.74,0,0,1.85,0.74,0.74,0.37,0,0.74,0,0.37,0,0.74,0.74,1.85,0,0.74,0,19.61,15.54,0,0,1.11,1.11,0.74,2.59,0,0,0,0
3Month,0.1,0.52,0.52,6.66,0,0,1.56,0.73,5.2,0.31,2.29,0.62,0.52,0.52,1.35,0,1.25,0.73,0.73,0.31,1.35,0.62,0.1,0.31,2.5,0.31,0,0,0.1,12.27
22Month,0,0.27,0.27,0.68,0,0,1.09,0,5.19,0.41,1.64,0.55,0.14,0.14,0.82,0.55,0.27,0,0.27,0.14,0.55,0,0,0,1.78,0.14,0,0,0,0.14
