stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,3,36,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0.85,0,0,0,0,1.41,1.69,0.85,0,1.13,0,0.56,0,0,0.28,0,0,0
21Day,1.11,0,2.59,37.37,1.85,0,0,23.68,0,2.22,0,0,0.74,0.37,1.85,2.22,0.74,0,0,0,0,3.33,0.74,24.05,0,2.59,1.48,4.44,0.37,0.74,0,0,0,0.74
3Month,0.1,0.52,1.46,84.57,0,0.1,0.1,18.2,1.04,4.47,2.39,0.1,19.76,0.52,1.04,1.46,1.87,0.31,0,0.21,0.52,0.1,0,26.32,0.1,0.62,1.56,44.83,0.1,0,0,0.1,10.4,0.62
22Month,0,0,0.55,17.22,0,0,0,2.32,0.68,5.33,0.14,0,9.02,0.14,0,0.68,1.5,0,0.55,0,0,0,0,15.44,0.14,0,0,3.14,0,0,0,0,0,0.27
