stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,2,0,0,0,0,0
72hpf,3.38,0.85,0,4.79,2.54,0.28,0,0,0.28,0,0.28,231.96,0.56,5.36,0,0,0.28,23.39,8.74,0,4.51,0.28,1.41,0.56
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,1.85,0,0,0,0.37,0,0
3Month,0,0.1,0,0.1,0,0,0.31,0.1,0,0.21,0,0.21,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0
22Month,0.14,0,0.14,0,0,0,1.91,0.14,0.14,0.14,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0
