stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,2,0,0,0,0,0,0,0,0,0,5,2,52,0,2,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0.28,0,1.13,8.46,26.21,0.28,0.85,0,0,0.85,0
21Day,0.74,0.74,1.85,0.37,0.74,0.37,0,1.48,0,0,0.37,0.37,1.48,5.55,13.32,0,0.74,0.74,0,0.37,0.37
3Month,0,0,0,0,0,0,0.42,0,0,0.21,0,0.1,0,0,0,0,0,0.1,0.1,0,0
22Month,0,0,0,0,0,0,0.68,0,0.14,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0
