stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0.28,0.85,0.28,0.56,0,0,0,0,0,1.97,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,5.18,0,1.85,0,1.11,0,0,0,0,2.59,0,0,2.96,1.48,0.74,0,0,0,0,0.74,2.22,0,0,1.11,0,0,0.74,0,0,0
3Month,0.21,0.21,4.16,0,0,0.1,0.1,0.31,2.29,16.75,1.66,0.42,2.39,0.73,1.56,3.02,0.94,0,0,0.42,1.14,0.1,0,0.1,0.21,0,0.1,5.51,0,0.62,0.42,2.91
22Month,0.55,0.14,1.78,0,0,0.14,0.41,0.14,3.14,16.67,0.41,0.41,2.73,0.27,0.14,1.37,1.37,0.14,0.27,0.14,0.14,0.14,0.27,0,0.27,0,0,0.82,0.14,0.27,0,1.09
