stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.56,0.28,0,2.82,0,0,0.28,0.28,0,0,0
21Day,0.37,0.74,0,0,0,0,0,0.37,0,0,0.74,0.37,0,0,0.74,0.37,0,0
3Month,0,1.04,0,0.1,0.31,0.1,0.1,0.62,0.1,0.1,0,0,0.1,0,0.21,0,0.1,0.1
22Month,0,0,0,0.14,0.55,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0
