stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0,7.61,0.28,0,0,0.28,0,0,0,0.28,0,0,0
21Day,1.48,0.37,0.74,0,0.37,0,0,0.37,0,0.74,0.37,0,0.37,0,1.48,0,0,0,6.66,0.74,0.37,0,0.74,1.11,0,0.37,0,0,0,0.37
3Month,1.25,0.1,3.02,0.1,0,0.31,0,8.84,0.21,0,1.66,0.42,1.77,0,2.18,0.1,0,0.21,1.98,0,0.83,0,0.1,0.21,7.07,0,0,0.62,3.95,0.52
22Month,0.55,0,0.14,0,0,0,0.27,3.83,0,0,0,0.14,0,0.55,0.14,0,0.14,0,0.68,0,0.27,0.14,0,0,0.27,0,0,0,0,0
