stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,26.21,13.53,0.28,1.41,0,0,0,0,5.07,1.97,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0,4.07,0,0.74,0,0,0,0,0.37,0,0,0.74,0,69.93,4.81,0.74,3.7,0,0,0,0,2.96,1.48,0,0,1.11,1.11,0,0,0,0,0,0,0
3Month,0.21,1.66,1.04,20.91,0.1,0,0.42,0.31,0.1,1.56,3.74,9.67,4.26,0.52,6.03,131.79,5.72,4.47,5.51,0.73,0,1.25,1.46,0.83,0.21,0.42,0.94,0.1,1.46,0.1,3.85,0,0.1,1.46,1.46,5.3
22Month,0,0.96,0.14,1.09,0,0,0.27,0,0,0.14,0.68,3.42,0.96,0.14,0,14.89,0.27,0.68,1.37,0,0.27,0.27,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0.41
