stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,1.11,0.74,0,0,0,0,0,0,0
3Month,0,1.77,1.04,0,1.14,0,0.1,0.42,0.31,1.25,0.1,0.1,0.1,0,0.62,0,0.21
22Month,0.14,0.55,0,0.27,4.51,0.14,0.14,0.14,0,0.41,0.55,0,0.14,0,0,0.14,0
