stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2,3,15,0,0,0,0,6,76,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,1.97,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,6.48,0,6.2,0,0.28,0.28,0,6.48,12.4,0,0.28,5.07,0,0,1.97,0,0.28,0,0,0
21Day,2.22,0.74,5.55,0.37,0,0,0.37,0,0,0,1.11,0,0,0.37,0,2.59,0.74,19.61,0,0,4.07,0,5.92,4.44,0,0.37,6.29,0.37,0,2.96,0.37,1.11,0,0,0
3Month,0.1,0.73,5.72,0.1,0,0.1,0,0.31,0.52,0,5.2,1.66,0.1,0.73,0.31,2.91,1.46,4.47,1.25,0,0.31,0.31,0,0.1,0.21,0.94,0.21,0.1,7.49,0.42,0,0,1.25,1.56,0.21
22Month,0,0.27,1.23,0,0,0,0,0.27,0.27,0.41,8.88,1.23,0.27,0.27,0,0.68,0.27,2.05,0.14,0.27,0,0,0,0,0,0.41,0,0,1.78,0.14,0,0,0.14,0,0
