stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0
21Day,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0,0,0,0,0.52,0.21,0,0.21,0.1,0,0,0.1,0.1,0,0,0.21,0.31
22Month,0.14,0,0,0.14,0.14,0.55,0,0.27,0,0.14,0,0.14,0,0,0,0,0,0
