stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,0,0,0,0.56,6.76,0,0.28,0,0,0,0,0,0,0
21Day,0,2.96,0.37,0,0,0,0,0,0,0,0,1.11,1.11,0,0,0,0,0,0.37,0,0,0
3Month,0,3.95,0,0,0.21,0,0,0.21,0,0,0,1.46,0.83,0.21,0.1,0,0,0.31,0.1,0.21,0.1,0
22Month,1.23,10.39,0,0.14,2.32,0.27,4.65,3.42,0.14,0.14,25.55,0.82,1.09,0.27,0.41,0.41,0.14,0.14,0.27,0.14,0,0.27
