stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,1,1,0
72hpf,0.28,0,0,0,0,0,0.28,3.1,0,0
21Day,0,0,0,0,0,0,0,1.11,0.74,0
3Month,0,0.21,0.1,0.21,0.1,0,0,0.21,0,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0.14
