stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0.74,0,0
3Month,0.21,2.39,0,0.1,0.52,0.21,0.1,0.52,0.1,0.1,0.42,0,0,0,0,0,0.42,0.1,0.42
22Month,0.14,0.55,0.68,0.68,1.91,0,0,1.5,0,0.14,0.55,0.55,0,0,0.27,0,1.5,0.27,0.68
